point_id;Original City Name;City Name;Fragment of City;Coordinates;District in MAGP;Wiki;Comment
45a;Kwiatków;;;51.704444,17.893611;Ostrów Wielkopolski;https://pl.wikipedia.org/wiki/Kwiatk%C3%B3w_(powiat_ostrowski);
50a;Kijewo;;;52.206944,17.281111;Środa;https://pl.wikipedia.org/wiki/Kijewo_(wojew%C3%B3dztwo_wielkopolskie);
51a;Kramsk;;;52.264722,18.4275;Konin;https://pl.wikipedia.org/wiki/Kramsk;
51b;Lądek;;;52.033889,18.006667;Konin;https://pl.wikipedia.org/wiki/L%C4%85dek_(powiat_koni%C5%84ski);
52a;Biernatki;;;52.532778,18.866389;Włocławek;https://pl.wikipedia.org/wiki/Biernatki_(wojew%C3%B3dztwo_kujawsko-pomorskie);
56a;Trojanów;;;52.124444,21.848333;Mińsk Mazowiecki;https://pl.wikipedia.org/wiki/Trojan%C3%B3w_(powiat_mi%C5%84ski);
56b;Wrotnów;;;52.514167,22.06;Węgrów;https://pl.wikipedia.org/wiki/Wrotn%C3%B3w;
60a;Morgi-Klukowo;;;52.695,21.985;Ostrów Mazowiecka;https://pl.wikipedia.org/wiki/Klukowo_(powiat_ostrowski);
61a;Janki Młode;;;52.983333,21.6625;Ostrołęka;https://pl.wikipedia.org/wiki/Janki_M%C5%82ode;
63a;Kondrajec Pański;;;52.8075,20.2375;Sierpc;https://pl.wikipedia.org/wiki/Kondrajec_Pa%C5%84ski_(wie%C5%9B);
64a;Witkowo;;;52.754444,19.182222;Lipno;https://pl.wikipedia.org/wiki/Witkowo_(powiat_lipnowski);
64b;Mochowo;;;52.765278,19.558333;Sierpc;https://pl.wikipedia.org/wiki/Mochowo;
64c;Pręczki;;;53.016944,19.418611;Rypin;https://pl.wikipedia.org/wiki/Pr%C4%99czki;
69b;Piesna-Walentynowo;;;53.285278,17.219444;Wyrzysk;https://pl.wikipedia.org/wiki/Piesno_(wie%C5%9B);
72a;Rozental;;;53.383056,18.919444;Nowe Miasto Lubawskie;https://pl.wikipedia.org/wiki/Rozental;
72b;Jeleń;;;53.297778,19.861667;Działdowo;https://pl.wikipedia.org/wiki/Jele%C5%84_(powiat_dzia%C5%82dowski);
72c;Piotrowice;;;53.525833,19.345556;Iława;https://pl.wikipedia.org/wiki/Piotrowice_(powiat_nowomiejski);
74a;Kadzidło;;;53.235556,21.464444;Ostrołęka;https://pl.wikipedia.org/wiki/Kadzid%C5%82o_(wojew%C3%B3dztwo_mazowieckie);
82a;Kroplewo;;;53.632778,19.991667;Ostróda;https://pl.wikipedia.org/wiki/Kraplewo;
85a;Liniewko Kaszubskie;;;54.120278,18.198889;Kościerzyna;https://pl.wikipedia.org/wiki/Liniewko_Kaszubskie;
86a;Sztumska Wieś;;;53.894167,19.010833;Sztum;https://pl.wikipedia.org/wiki/Sztumska_Wie%C5%9B;
88a;Borawskie;;;54.100556,22.628611;Olecko;https://pl.wikipedia.org/wiki/Borawskie_(wojew%C3%B3dztwo_warmi%C5%84sko-mazurskie);
89a;Sumowo;;;54.255556,22.963056;Suwałki;https://pl.wikipedia.org/wiki/Sumowo_(powiat_suwalski);
91b;Luzino;;;54.566111,18.103889;Wejherowo;https://pl.wikipedia.org/wiki/Luzino;
;;;;;;;
P2;Łopuszna ;;;49.476111,20.1325;Nowy Targ;https://pl.wikipedia.org/wiki/%C5%81opuszna;
P3;Niedźwiedź;;;49.621389,20.08;Limanowa;https://pl.wikipedia.org/wiki/Nied%C5%BAwied%C5%BA_(powiat_limanowski);
P4;Witów;;;49.325833,19.824444;Nowy Targ;https://pl.wikipedia.org/wiki/Wit%C3%B3w_(powiat_tatrza%C5%84ski);
P5;Zawoja;;;49.661389,19.560556;Wadowice;https://pl.wikipedia.org/wiki/Zawoja;
P6;Zarzyce Wielkie;;;49.885556,19.726389;Wadowice;https://pl.wikipedia.org/wiki/Zarzyce_Wielkie;
P7;Czarne (Czerne);;;49.508056,18.850833;Czadca (CSRS);https://pl.wikipedia.org/wiki/Czerne;
P8;Tylmanowa;;;49.496389,20.403889;Nowy Targ;https://pl.wikipedia.org/wiki/Tylmanowa;
P9;Bulowice;;;49.8775,19.276944;Oświęcim;https://pl.wikipedia.org/wiki/Bulowice;
P10;Ździar;;;49.270833,20.265278;Kieżmark (CSRS);https://pl.wikipedia.org/wiki/Zdziar_(S%C5%82owacja);
P12;Podwilk;;;49.543889, 19.731111;Nowy Targ;https://pl.wikipedia.org/wiki/Podwilk;
P13 ;Głodówka;;;49.37,19.7575;Trzciana (CSRS, Orawa);https://pl.wikipedia.org/wiki/G%C5%82od%C3%B3wka_(S%C5%82owacja);
P14;Stary  Żywiec;;;49.706557,19.195344;Żywiec;https://pl.wikipedia.org/wiki/Stary_%C5%BBywiec;
P15;Ligotka Kameralna;;;49.653056,18.5275;Cieszyn (CSRS);https://pl.wikipedia.org/wiki/Ligotka_Kameralna;
P16;Pogóra;;;49.516667,19.45;Namiestów (CSRS);https://pl.wikipedia.org/wiki/Orawska_P%C3%B3%C5%82g%C3%B3ra;Niepewne - wieś w spisie MAGP nazywa się Pagóra, nie Półgóra
P17;Ujsoły;;;49.477778,19.143889;Żywiec;https://pl.wikipedia.org/wiki/Ujso%C5%82y;
P18;Lipnik;;;49.793889,20.091944;Myślenice;https://pl.wikipedia.org/wiki/Lipnik_(wojew%C3%B3dztwo_ma%C5%82opolskie);
P19;Iwkowa;;;49.813889,20.593333;Brzesko;https://pl.wikipedia.org/wiki/Iwkowa;
P20;Brzeczna-Litacz, też jako p. 3;;;49.611944,20.582778;Nowy Sącz;https://pl.wikipedia.org/wiki/Brzezna-Litacz;
