Nr;Original City Name;City Name Today;Fragment of City;Coordinates;Wiki;Comment;XV.1/0;XV.1/1;XV.1/2;XV.1/3;XV.1/4;XV.1/5;XV.1/6;XV.1/7;XV.1/8;XV.1/9;XV.1/10;XV.1/11;XV.38/0;XV.38/1;XV.38/2;XV.38/3;XV.38/4;XV.38/5;XV.38/6;XV.38/7;XV.38/8;XV.38/9;XV.38/10;XV.38/11;XV.38/12;XV.38/13;XV.38/14;Map_1;Map_2;Map_3
112;Garczyn;;;54.041667, 18.236944;https://pl.wikipedia.org/wiki/Garczyn;;;;;;;;;;;;;;;;;1;;;;;;;1;;;;;ccccc;bbbbb;bbbbb
113;Szczodrowo;;;54.101389, 18.364444;https://pl.wikipedia.org/wiki/Szczodrowo_(wojew%C3%B3dztwo_pomorskie);;;;;;;;;;;;;;;;;1;;;;;;1;1;;;;;ccccc;bbbbb;bbbbb
114;Zblewo;;;53.933889, 18.328333;https://pl.wikipedia.org/wiki/Zblewo;;;;;;;;;;;;;;;;;1;;;;;;;1;;;;;ccccc;bbbbb;bbbbb
116;Miłobądz;;;54.136389, 18.720556;https://pl.wikipedia.org/wiki/Mi%C5%82ob%C4%85dz_(powiat_tczewski);;;;;;;;;;;;;;;;;1;;;;;;;1;;;;;ccccc;bbbbb;bbbbb
116a;Malenin;;;54.135, 18.681389;https://pl.wikipedia.org/wiki/Malenin_(wojew%C3%B3dztwo_pomorskie);;;;;;;;;;;;;;;;;1;;;;;;;1;;;;;ccccc;bbbbb;bbbbb
117;Mątowy Wielkie;;;54.012222, 18.855;https://pl.wikipedia.org/wiki/M%C4%85towy_Wielkie;;;;;;;;;;;;;;;;;1;;;;;;;1;;;;;ccccc;bbbbb;bbbbb
118;Subkowy;;;54.0025, 18.768889;https://pl.wikipedia.org/wiki/Subkowy;;;;;;;;;;;;;;;;;1;;;;;;;1;;;;;ccccc;bbbbb;bbbbb
119;Koślinka;;;53.967222, 19.071389;https://pl.wikipedia.org/wiki/Ko%C5%9Blinka_(powiat_sztumski);;;;;;;;;;;;;;;;;1;;;;;;;1;;;;;ccccc;bbbbb;bbbbb
120;Nowa Wieś;;;53.872778, 19.001389;https://pl.wikipedia.org/wiki/Nowa_Wie%C5%9B_(powiat_sztumski);;;;;;;;;;;;;;;;;1;;;;;;;1;;;;;ccccc;bbbbb;bbbbb
121;Brzeźno;Brzeźno Szlacheckie;;54.018889, 17.245;https://pl.wikipedia.org/wiki/Brze%C5%BAno_Szlacheckie;;;1;;;1;;;;;;;1;1;;;;;;;1;1;1;;1;;;1;ccccc;bbbbb;bbbbb
122;Borzyszkowy;;;54.033611, 17.370556;https://pl.wikipedia.org/wiki/Borzyszkowy;;;;;;1;;;;;;;1;1;;;;;;;1;1;1;;1;;;1;ccccc;bbbbb;bbbbb
